INCIDENT_ID,DATA_YEAR,OFFENSE_TYPES,SUM_OFFENSE_RECORDS
79858,2014,Extortion/Blackmail,1
79859,2014,False Pretenses/Swindle/Confidence Game,19
79860,2014,Fondling,6
79861,2014,Hacking/Computer Invasion,0
79862,2014,"Human Trafficking, Commercial Sex Acts",0
79863,2014,Identity Theft,0
79864,2014,Impersonation,9
79865,2014,Incest,0
79866,2014,Intimidation,1391
79867,2014,Kidnapping/Abduction,4
79868,2014,Motor Vehicle Theft,23
79869,2014,Murder and Nonnegligent Manslaughter,5
79870,2014,Negligent Manslaughter,0
79871,2014,Not Specified,30
79872,2014,Pocket-picking,1
79873,2014,Pornography/Obscene Material,3
79874,2014,Prostitution,0
79875,2014,Purchasing Prostitution,0
79876,2014,Purse-snatching,0
79877,2014,Rape,8
79878,2014,Robbery,122
79879,2014,Sexual Assault With An Object,1
79880,2014,Shoplifting,33
79881,2014,Simple Assault,1341
79882,2014,Sodomy,1
79883,2014,Statutory Rape,1
79884,2014,Stolen Property Offenses,4
79885,2014,Theft From Building,34
79886,2014,Theft From Coin-Operated Machine or Device,1
79887,2014,Theft From Motor Vehicle,34
79888,2014,Theft of Motor Vehicle Parts or Accessories,7
79889,2014,Weapon Law Violations,10
79890,2014,Welfare Fraud,0
79891,2014,Wire Fraud,2
79892,2015,Aggravated Assault,680
79893,2015,All Other Larceny,113
79894,2015,Animal Cruelty,0
79895,2015,Arson,30
79896,2015,Assisting or Promoting Prostitution,0
79897,2015,Betting/Wagering,0
79898,2015,Bribery,0
79899,2015,Burglary/Breaking & Entering,148
79900,2015,Counterfeiting/Forgery,6
79901,2015,Credit Card/Automated Teller Machine Fraud,14
79902,2015,Destruction/Damage/Vandalism of Property,1708
79903,2015,Drug Equipment Violations,16
79904,2015,Drug/Narcotic Violations,33
79905,2015,Embezzlement,5
79906,2015,Extortion/Blackmail,1
79907,2015,False Pretenses/Swindle/Confidence Game,15
79908,2015,Fondling,5
79909,2015,Hacking/Computer Invasion,0
79910,2015,"Human Trafficking, Commercial Sex Acts",0
79911,2015,Identity Theft,0
79912,2015,Impersonation,17
79913,2015,Incest,0
79914,2015,Intimidation,1494
79915,2015,Kidnapping/Abduction,6
79916,2015,Motor Vehicle Theft,23
79917,2015,Murder and Nonnegligent Manslaughter,8
79918,2015,Negligent Manslaughter,0
79919,2015,Not Specified,35
79920,2015,Pocket-picking,0
79921,2015,Pornography/Obscene Material,1
79922,2015,Prostitution,1
79923,2015,Purchasing Prostitution,0
79924,2015,Purse-snatching,1
79925,2015,Rape,9
79926,2015,Robbery,121
79927,2015,Sexual Assault With An Object,1
